mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	dynamics	articulation	staff_text	tempo	qpm	tempo_visible	slur	decrescendo_hairpin
11	11	21	21	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	136		articStaccatoAbove						
11	11	85/4	85/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	137		articStaccatoAbove						
11	11	43/2	43/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	138		articStaccatoAbove						
11	11	87/4	87/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	139		articStaccatoAbove						
11	11	20	20	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	140								
11	11	81/4	81/4	0.5		1/16	1/16	Chord	2/4	2	1	1/8	1/8	1	141		articTenutoBelow						
11	11	83/4	83/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	142								
11	11	21	21	0.5		1/4	1/4	Chord	2/4	2	1	1/8	1/8	1	143		articStaccatoAbove						
11	11	43/2	43/2	0.5		3/8	3/8	Chord	2/4	2	1	1/8	1/8	1	144		articStaccatoBelow						
12	12	22	22	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	145								
12	12	89/4	89/4	0.08333333333333333		1/16	1/16	Chord	2/4	1	1	1/48	1/32	2/3	146							14	
12	12	67/3	67/3	0.08333333333333333		1/12	1/12	Chord	2/4	1	1	1/48	1/32	2/3	147							14	
12	12	269/12	269/12	0.08333333333333333		5/48	5/48	Chord	2/4	1	1	1/48	1/32	2/3	148							14	
12	12	45/2	45/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	149								
12	12	91/4	91/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	150		articStaccatoBelow						
12	12	23	23	0.08333333333333333		1/4	1/4	Chord	2/4	1	1	1/48	1/32	2/3	151							15	
12	12	277/12	277/12	0.08333333333333333		13/48	13/48	Chord	2/4	1	1	1/48	1/32	2/3	152							15	
12	12	139/6	139/6	0.08333333333333333		7/24	7/24	Chord	2/4	1	1	1/48	1/32	2/3	153							15	
12	12	93/4	93/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	154		articStaccatoBelow						
12	12	47/2	47/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	155		articStaccatoBelow						
12	12	95/4	95/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	156		articStaccatoBelow						
12	12	22	22	0.0		0	0	StaffText	2/4	2	1	0						secco					
12	12	22	22	0.25		0	0	Chord	2/4	2	1	1/16	1/16	1	157		articAccentBelow						
12	12	89/4	89/4	0.25		1/16	1/16	Chord	2/4	2	1	1/16	1/16	1	158		articAccentBelow						
13	13	24	24	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	159		articStaccatoBelow						
13	13	97/4	97/4	0.25		1/16	1/16	Chord	2/4	1	1	1/16	1/16	1	160		articStaccatoBelow						
13	13	49/2	49/2	0.25		1/8	1/8	Chord	2/4	1	1	1/16	1/16	1	161		articStaccatoBelow						
13	13	99/4	99/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	162		articStaccatoBelow						
13	13	25	25	0.5		1/4	1/4	Chord	2/4	1	1	1/8	1/8	1	163								
13	13	51/2	51/2	0.25		3/8	3/8	Chord	2/4	1	1	1/16	1/16	1	164		articStaccatoAbove						
13	13	103/4	103/4	0.25		7/16	7/16	Chord	2/4	1	1	1/16	1/16	1	165		articStaccatoBelow						
13	13	24	24	0.75		0	0	Chord	2/4	2	1	3/16	1/8	3/2	166		articStaccatoAbove						
13	13	99/4	99/4	0.25		3/16	3/16	Chord	2/4	2	1	1/16	1/16	1	167		articStaccatoBelow						
13	13	25	25	1.0		1/4	1/4	Chord	2/4	2	1	1/4	1/4	1	168		articTenutoAbove						
14	14	26	26	0.25		0	0	Chord	2/4	1	1	1/16	1/16	1	169								
14	14	105/4	105/4	0.5		1/16	1/16	Chord	2/4	1	1	1/8	1/8	1	170		articTenutoAbove						
14	14	107/4	107/4	0.25		3/16	3/16	Chord	2/4	1	1	1/16	1/16	1	171								
14	14	27	27	0.25		1/4	1/4	Chord	2/4	1	1	1/16	1/16	1	172		articStaccatoAbove						
14	14	109/4	109/4	0.25		5/16	5/16	Chord	2/4	1	1	1/16	1/16	1	173		articStaccatoAbove						
